,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
86,"Lucid Dreams","Juice WRLD",38960,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
87,Maradona,"AM La Scampia",38649,https://open.spotify.com/track/796IKYYryVu3Qc4Q4HXLbI
88,X,"Nicky Jam",38613,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
89,"Be Right Here",Kungs,38509,https://open.spotify.com/track/6Yk4HTvs1Ww41l4c7iyBlH
90,Salé,Niska,38112,https://open.spotify.com/track/6NidE9hFNlSMBaTZ4NtgP6
91,"Marchand de sable Part. 4 (Du SAal)",Vegedream,37879,https://open.spotify.com/track/2mRRrAKZOXROUVmaJhlJ8k
92,Tierquar,RK,37756,https://open.spotify.com/track/4V7F7rldtFEjuSTzTPYB13
93,"Born To Be Yours",Kygo,37275,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
94,"Vai et viens",Lartiste,36991,https://open.spotify.com/track/6dAx0jUY9lnXEtBiK7e2ZZ
95,"La Cintura","Alvaro Soler",36982,https://open.spotify.com/track/19MBk3PbNFE36wqIqkMq9H
96,Silence,Damso,36782,https://open.spotify.com/track/3cYf24Pf7oqX9XOHHrWy38
97,Lundi,Sofiane,36622,https://open.spotify.com/track/47YaaXykE1gR4PRBpkDtKr
98,Favela,Naps,36510,https://open.spotify.com/track/1xZA0qvWfCcsNlzZXmCnJh
99,"Bella ciao (feat. Maître Gims, Vitaa, Dadju & Slimane)",Naestro,36234,https://open.spotify.com/track/1XcnxfOeLvLPGh2Drr2yNb
100,Maria,Timal,36206,https://open.spotify.com/track/1UJSvTf7RoSew9oRgZkKZm
101,"60 années",Damso,36198,https://open.spotify.com/track/3mqq0Z92V15UZX4veTK1C3
102,"Flics & stups",Timal,36187,https://open.spotify.com/track/64fr89AYfNIPUZb3ZxZU6C
103,Christina,Dadju,36177,https://open.spotify.com/track/2EZCA9wQTCq45X9FkYPUik
104,"Ta marinière",Hoshi,36021,https://open.spotify.com/track/4cSqYCRAdW3AAT8yrvMrkW
105,changes,XXXTENTACION,35818,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
106,"Your Love","David Guetta",35766,https://open.spotify.com/track/0tgbSxoFjZ20MjfoKwWevV
107,"Yeux disent",Lomepal,35448,https://open.spotify.com/track/0RsI4r9abN1pSFJro36Hon
108,Gotham,Booba,35052,https://open.spotify.com/track/1do4WVvFKBWnTSXfnYpHVZ
109,Amigo,Alonzo,35010,https://open.spotify.com/track/6FAKLnUql9gsDazDY0PrrS
110,"Answerphone (feat. Yxng Bane)","Banx & Ranx",35009,https://open.spotify.com/track/1HagMz5nWk1HmevNCBOxF3
111,"Par amour",Dadju,34504,https://open.spotify.com/track/7vaHVmMKvajDN4IwtNslnI
112,"Mignon garçon",4Keus,34261,https://open.spotify.com/track/3fsxaVOcdrxun6islmsklq
113,"Magenta Riddim","DJ Snake",34201,https://open.spotify.com/track/4BiiDQtijdt0WdtiyIPhnO
114,Julien,Damso,33660,https://open.spotify.com/track/72EqEemOS6xMrn3zmzL12Y
115,Bizarre,Lorenzo,33612,https://open.spotify.com/track/4YKqj8VsrWVjvuwuellcY7
116,2002,Anne-Marie,33499,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
117,"Moi ça m'ira",DTF,33243,https://open.spotify.com/track/4tx5ejrAuFI3ohiFHVBBck
118,"Mama He",Vegedream,33207,https://open.spotify.com/track/5Jr2TEnNRtDKSnSTKpMxUP
119,Cagoulé,Siboy,33022,https://open.spotify.com/track/1J36AN2Rkmd9HUY4VpIZdf
120,"Eastside (with Halsey & Khalid)","benny blanco",32761,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
121,"Jocelyn Flores",XXXTENTACION,32759,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
122,Dura,"Daddy Yankee",32729,https://open.spotify.com/track/6KuqAtoeVzxAYOaMveLNpH
123,"La thune",Angèle,32133,https://open.spotify.com/track/5JlGAhWabxmwpyNyiEumzr
124,Baltringue,Damso,32109,https://open.spotify.com/track/0m1jupQxvvQFqNeO7RXnK8
125,Cache-Cache,Columbine,31690,https://open.spotify.com/track/4NK6D8GiarjU5inTO8FCsJ
126,Medellín,Niska,31572,https://open.spotify.com/track/3YzRBFsvGVTlTXUvjsSxcf
127,"Keep Us Apart (feat. Bright Sparks)","Jen Jis",31535,https://open.spotify.com/track/45922vVwDr2DgnuYAS6iLp
128,"Bed (feat. Ariana Grande)","Nicki Minaj",31187,https://open.spotify.com/track/3L4GsGLgxpHieVQH86H8bv
129,Life,Hamza,31147,https://open.spotify.com/track/1oHh0DAi8nJDORn90H97QA
130,"Midi dans le ghetto (feat. Ninho)","4Keus Gang",31092,https://open.spotify.com/track/3Dr23qFJG0sm2hkA3cN2z3
131,"Pour oublier","Kendji Girac",30872,https://open.spotify.com/track/5Ygi7pSCeJfAXjJnRotQiT
132,"Tuba Life",Niska,30842,https://open.spotify.com/track/6T1ZfJ9Dg86lVcmVzPf4QE
133,"Fallait pas","Marwa Loud",30742,https://open.spotify.com/track/0fACF9oFLE2IOaEyRvRTrL
134,Rose,Ninho,30696,https://open.spotify.com/track/4Ln4KAwk37peyCh2QpqYnP
135,"Mort de rire",SCH,30631,https://open.spotify.com/track/4ZsYjMIUZC3wsoe7SB4EyR
136,"High Hopes","Panic! At The Disco",30440,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
137,Nonstop,Drake,30263,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
138,Havana,"Camila Cabello",30113,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
139,Onizuka,PNL,29821,https://open.spotify.com/track/4GCIYE1x1TWJCChPkpy9by
140,Crazy,"Lost Frequencies",29805,https://open.spotify.com/track/2hqy4QmpvMeVz6zeolDeLQ
141,"Je me dis que toi aussi","Boulevard des Airs",29775,https://open.spotify.com/track/0ZMinJX2aoSFIJUFHKEZEq
142,"Dix leurres",Damso,29760,https://open.spotify.com/track/7D2KvtZkgkTKWYu2X24qyv
143,"Madre mia (feat. Ninho)",Sadek,29584,https://open.spotify.com/track/37YNulvDhyzULfhHycmhEl
