,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
132,"Waar Wacht Je Op",Broederliefde,24639,https://open.spotify.com/track/4LwZT4b5YClB7Sj7nP6Rw1
133,Spontaan,Broederliefde,24500,https://open.spotify.com/track/00r0qpks8uOoARSj4EX8ad
134,Nicotine,Chef'Special,24495,https://open.spotify.com/track/6yvxKrf9KZLTodXFTBmdR1
135,"Side Effects","The Chainsmokers",24402,https://open.spotify.com/track/5yNEdBlZMxpcVtGKz5NFk5
136,Believer,"Imagine Dragons",24191,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
137,Officieel,Broederliefde,24072,https://open.spotify.com/track/3e0gMtgOOLGPFLzPWR7xzb
138,"Whoop Whoop",Ismo,23814,https://open.spotify.com/track/5IVAmSvrMJO97rYFibgDRp
139,Wagwan,SBMG,23744,https://open.spotify.com/track/5q0yLR3cBWjZ12pdnTNxYp
140,"I'm Yours","Jason Mraz",23608,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
141,"Mad Love","Sean Paul",23505,https://open.spotify.com/track/4dSoDnmR9opAQ8KxUc9SbC
142,Oceaan,Racoon,23150,https://open.spotify.com/track/4AUASx1KCTQFmpHu7qq6Kr
143,"Whatever It Takes","Imagine Dragons",23121,https://open.spotify.com/track/6Qn5zhYkTa37e91HC1D7lb
144,"Wake Me Up - Radio Edit",Avicii,23120,https://open.spotify.com/track/4h8VwCb1MTGoLKueQ1WgbD
145,"Bed (feat. Ariana Grande)","Nicki Minaj",23062,https://open.spotify.com/track/3L4GsGLgxpHieVQH86H8bv
146,"Like I Do","David Guetta",23042,https://open.spotify.com/track/6RnkFd8Fqqgk1Uni8RgqCQ
147,"Stop Met Typen",Equalz,23035,https://open.spotify.com/track/2fBHmGi4cnKynlXd7P6GZD
148,"Salaris (feat. Bizzey)",Dopebwoy,22942,https://open.spotify.com/track/71kezebzgjsCRMFCwhz4Ga
149,"I'm a Mess","Bebe Rexha",22913,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
150,"Mijn Zoon",Fresku,22750,https://open.spotify.com/track/0VgoO6qlVgAgcmZUipzkzE
151,Loterij,"Lil' Kleine",22674,https://open.spotify.com/track/0JdKB06zZsPXmfvQVeJS35
152,"Lekker He",Poke,22563,https://open.spotify.com/track/5x6UGX0Rial4wHGq66yw1M
153,Perfect,"Ed Sheeran",22385,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
154,Patsergedrag,"Sevn Alias",22279,https://open.spotify.com/track/4tNpAeDH7S7cJGEo28Ogi4
155,"All Things Under The Sun",Wulf,21941,https://open.spotify.com/track/6ob7LgTL2aBuS0zh214H1R
156,Drip,SFB,21925,https://open.spotify.com/track/2gE0b1VtUXi6BV5FcnpkUI
157,"lovely (with Khalid)","Billie Eilish",21699,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
158,"Only You (with Little Mix)","Cheat Codes",21642,https://open.spotify.com/track/54l9GJGQ1UCFKe2tzt1Vxt
159,"Playinwitme (feat. Kehlani)",KYLE,21343,https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr
160,"Glad IJs",Broederliefde,21120,https://open.spotify.com/track/1qmVKrckgWr4dGOy2XK3dh
161,"Say You Won't Let Go","James Arthur",21091,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
162,Anywhere,"Rita Ora",21069,https://open.spotify.com/track/7EI6Iki24tBHAMxtb4xQN2
163,"Too Good At Goodbyes","Sam Smith",21008,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
164,"Quarter Past Midnight",Bastille,20976,https://open.spotify.com/track/1etiUDkISHELzQGMY79ryt
165,Attractie,Jairzinho,20958,https://open.spotify.com/track/0Z9pQtRABvj0BagLGMzn13
166,"Bom 't (feat. Mula B, Bizzey & Dopebwoy)",Jayh,20938,https://open.spotify.com/track/5oL2shDhnyIuE1qe89qmfS
167,"Domste Van De Klas",808milli,20875,https://open.spotify.com/track/4Ao7qwvM7z9XRPE5dWEvWK
168,Coño,Puri,20504,https://open.spotify.com/track/7tXCV0UwFwBxqum6i25you
169,"Échame La Culpa","Luis Fonsi",20430,https://open.spotify.com/track/2hl6q70unbviGo3g1R7uFx
170,Sende,Broederliefde,20400,https://open.spotify.com/track/0kfmRoEuMByjO4FkqMKCzi
171,"One Dance",Drake,20096,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
172,Thunder,"Imagine Dragons",20080,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
173,"Can't Hold Us - feat. Ray Dalton","Macklemore & Ryan Lewis",19987,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn
174,APESHIT,"The Carters",19597,https://open.spotify.com/track/0E6PsO3ymCfUh7pJQjBgkj
175,Energie,"Ronnie Flex",19568,https://open.spotify.com/track/1riPE3NCV1OBmSXqpYiMJY
176,Vuurwerk,Spanker,19564,https://open.spotify.com/track/2gObiLcpHmoQ5SFF1W62tp
