,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
121,Mocca,"Lalo Ebratt",3136,https://open.spotify.com/track/0NKoPGc72yUKTIneVhFfg1
122,Bipolar,"Chris Jeday",3134,https://open.spotify.com/track/4WzsycqZkpkS48H9AAAGux
123,"Báilame - Remix",Nacho,3114,https://open.spotify.com/track/4l3xGFwoTinvYxsePytOOf
124,changes,XXXTENTACION,3073,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
125,"In My Mind",Dynoro,3070,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
126,Mayores,"Becky G",3068,https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau
127,"Jackie Chan",Tiësto,3034,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
128,Mamita,CNCO,2977,https://open.spotify.com/track/71GAvRsilpo9pqd0vYn8Mo
129,"Quien Sabe","Natti Natasha",2965,https://open.spotify.com/track/5ZkPBld8QqfUkS6aJG40yj
130,"Ni Gucci Ni Prada","Kenny Man",2946,https://open.spotify.com/track/7yFML4hCZA6ha7fyAM0utY
131,"Jocelyn Flores",XXXTENTACION,2936,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
132,Satisfacción,"Nicky Jam",2929,https://open.spotify.com/track/21WvAGxPUNJARcZoSqswd7
133,"Cásate Conmigo","Silvestre Dangond",2927,https://open.spotify.com/track/6f4UPdDBQONKJBRqwZGjaJ
134,"Ya Para Qué",Greeicy,2839,https://open.spotify.com/track/7HCZWKJmHITV7Pt5YTQDcL
135,FRIENDS,Marshmello,2833,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
136,"Cómo Te Atreves",Morat,2825,https://open.spotify.com/track/7M6CFruBrM5x7u0lTMtm6r
137,"El Anillo","Jennifer Lopez",2816,https://open.spotify.com/track/2SpfMQ5TuKsMj1trNwrLVA
