,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
103,"Jocelyn Flores",XXXTENTACION,41106,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
104,"Veleno 6",Madman,40753,https://open.spotify.com/track/7GfXjqXD9aBvDoBdZ7EwPH
105,"Voglio ballare con te","Baby K",40057,https://open.spotify.com/track/14KKXLz5WHrzGOMUNFV22H
106,"Irraggiungibile (feat. Federica Carta)",Shade,39908,https://open.spotify.com/track/03PDOt4cRKQgpYfA9I9wnC
107,Riccione,Thegiornalisti,39860,https://open.spotify.com/track/6RiprjTTheMrJ2ypJxz3H4
108,"Portami con te",Boomdabash,39712,https://open.spotify.com/track/2S5H2pKuM6lgLC00VVKCZD
109,"Start Again (with Vegas Jones)",OneRepublic,39319,https://open.spotify.com/track/5kITqlHH4ZJXWbczDmvWQB
110,"In My Blood","Shawn Mendes",39219,https://open.spotify.com/track/21YnmkSDhUkmkkni22Svc4
111,"X - Remix","Nicky Jam",38423,https://open.spotify.com/track/6JjPBQfI2Y8nIjnm65X6Pw
112,Bandita,"Jake La Furia",38389,https://open.spotify.com/track/1AxEMGsutOIbDzZnvj0yaj
113,"Allenamento #2","Capo Plaza",38041,https://open.spotify.com/track/2z3sYBYhLhsGTOKZe5vkcM
114,"rockstar (feat. 21 Savage)","Post Malone",37970,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
115,"Non Abbiamo Età",Luche,37676,https://open.spotify.com/track/0NwuXciw6eQc4edjwSBnV3
116,Perdonami,Salmo,37654,https://open.spotify.com/track/7kK2m2KDEL0W8oFq6fuOcf
117,"Acqua Calda E Limone (feat. Ernia)",Rkomi,37441,https://open.spotify.com/track/2OIXm3ZM0pbSXQYrq9C5RN
118,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes",37348,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
119,"Shape of You","Ed Sheeran",36558,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
120,"Centro (feat. Coez)",Madman,35932,https://open.spotify.com/track/6DGl9TtxYTpMFrmZa1mwEz
121,"Tran Tran","Sfera Ebbasta",35904,https://open.spotify.com/track/3cGuiySfwJPXqvE15OiEEg
122,"Il Terrone Va Di Moda","Il Pagante",35624,https://open.spotify.com/track/3rSnjrrh5EVlPIrd8w16Ad
123,Ipernova,Mr.Rain,35064,https://open.spotify.com/track/1TaSkLG2bXx84YuKmJvncw
124,"Purple Rain","Achille Lauro",34612,https://open.spotify.com/track/0PpB4YTfszDRmQxLirA4pM
125,"Giù da me","Capo Plaza",34463,https://open.spotify.com/track/06VV1e6OgFMG2XSxsnRxxM
126,"Paradise Lost",Gemitaiz,34108,https://open.spotify.com/track/1o3hgrxrtzKjsF36oLtook
127,"Senza Pagare VS T-Pain",J-AX,34092,https://open.spotify.com/track/0YOUE1TlkgSbkNvWkZkEVp
128,"Who You Are - Full English Version",Mihail,33648,https://open.spotify.com/track/6BqytANy7ggG3rcIe6CZry
129,"Psycho (feat. Ty Dolla $ign)","Post Malone",33409,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
130,"Live It Up - Official Song 2018 FIFA World Cup Russia","Nicky Jam",33262,https://open.spotify.com/track/4DnHUy01jEA4b5ydC3HgsT
131,"Lo Sai Che Ci Penso",Gemitaiz,32794,https://open.spotify.com/track/6qE4ocLpaSUkWYrcpbPN7Z
132,"Pezzo Trap (feat. Fabri Fibra)",Gemitaiz,32649,https://open.spotify.com/track/5ZBSyZYBG6QEhSRSC1nt4b
133,Criminal,"Natti Natasha",32263,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C
134,Clandestino,Shakira,31955,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
135,Ulalala,"Achille Lauro",31703,https://open.spotify.com/track/2NTxalkIR7Yz1nl5iIFWAz
136,"Eastside (with Halsey & Khalid)","benny blanco",31651,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
137,"Malibu (feat. Gemitaiz)","Carl Brave",30857,https://open.spotify.com/track/5S2Bshrq6Bh4zHZoXkUtvf
138,"Me Rehúso","Danny Ocean",30817,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
139,"Faccio un casino",Coez,30131,https://open.spotify.com/track/6qNXkVk19OYLu4CoqjDfZ0
140,goosebumps,"Travis Scott",29907,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
141,"Roma - Bangkok","Baby K",29778,https://open.spotify.com/track/3KoUTYSRCUgleIybRyoC8C
142,Vabbene,"Capo Plaza",29711,https://open.spotify.com/track/5n9Ss9tXZEy5Z18BxYm8KW
143,"Wake Me Up - Radio Edit",Avicii,29510,https://open.spotify.com/track/4h8VwCb1MTGoLKueQ1WgbD
144,"Bene ma non benissimo",Shade,29482,https://open.spotify.com/track/7AujiK4ndTotwFOaGEjvOu
145,"Le luci della città",Coez,29414,https://open.spotify.com/track/381VH1JFj9q08V1OMlPU5m
146,"Casa Mia (feat. Luchè & Capo Plaza)","Noyz Narcos",28772,https://open.spotify.com/track/6NnO2rbViEDhX6wewADukc
147,"Visiera A Becco","Sfera Ebbasta",28712,https://open.spotify.com/track/4ySxBjhmdnkeFUqhKxW3cY
148,Nevermind,"Dennis Lloyd",28541,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
149,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,28359,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
