,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
107,"Panic Room",Au/Ra,5070,https://open.spotify.com/track/3MkuFR7t25mu7Iscp6GGiV
108,"A l'Ammoniaque",PNL,5061,https://open.spotify.com/track/6aH3QgooXRmx8k8jzrSm3V
109,"Bad boy","Marwa Loud",4961,https://open.spotify.com/track/0N90EmHdOXLnTYDoeLwsmr
110,"Cut Loose","Emma Bale",4945,https://open.spotify.com/track/3khBTuJV9nXiNqKY1k9AXZ
111,"Wonderwall - Remastered",Oasis,4907,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
112,Home,"Edward Sharpe & The Magnetic Zeros",4878,https://open.spotify.com/track/7w5cxTEzp1rfV3KCy0Bd5N
113,"Sweet Dreams (Are Made of This) - Remastered",Eurythmics,4871,https://open.spotify.com/track/1TfqLAPs4K3s2rJMoCokcS
114,"Dished (Male Stripper)","Purple Disco Machine",4867,https://open.spotify.com/track/4DIspILFDWAlU7bViTMqhS
115,Closer,"The Chainsmokers",4830,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
116,"Let Her Go",Passenger,4827,https://open.spotify.com/track/2jyjhRf6DVbMPU5zxagN2h
117,"Taking A Walk","Trippie Redd",4801,https://open.spotify.com/track/4mHgYpuGHu99Mw69E83CP2
118,APESHIT,"The Carters",4798,https://open.spotify.com/track/0E6PsO3ymCfUh7pJQjBgkj
119,"Quarter Past Midnight",Bastille,4789,https://open.spotify.com/track/1etiUDkISHELzQGMY79ryt
120,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",4779,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
121,"Ipséité - Bonus Track",Damso,4737,https://open.spotify.com/track/1bWACDppxjESmjkXMl6cnI
122,"Don't Give In","Snow Patrol",4714,https://open.spotify.com/track/70F5cNOc2mvAtV03yRKwId
123,"Take On Me",a-ha,4707,https://open.spotify.com/track/2WfaOiMkCvy7F5fcp2zZ8L
124,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",4698,https://open.spotify.com/track/7CUYHcu0RnbOnMz4RuN07w
125,"Take Me to Church",Hozier,4697,https://open.spotify.com/track/3KYOGt8IO6j8wptkG9THag
126,"What About Us",P!nk,4686,https://open.spotify.com/track/0Qh38w01QRXK6KHIv0e3hb
127,"More Than You Know","Axwell /\ Ingrosso",4669,https://open.spotify.com/track/6h5PAsRni4IRlxWr6uDPTP
128,"Something Just Like This","The Chainsmokers",4669,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
129,"Dusk Till Dawn - Radio Edit",ZAYN,4647,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
130,"Sin Pijama","Becky G",4641,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
131,"We Can Do Better","Matt Simons",4638,https://open.spotify.com/track/1hLjLWrzO18acdCFcccFWk
132,"Feel It Still","Portugal. The Man",4619,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
133,"I'll Be There","Jess Glynne",4603,https://open.spotify.com/track/083Qf6hn6sFL6xiOHlZUyn
134,"Snow (Hey Oh)","Red Hot Chili Peppers",4590,https://open.spotify.com/track/2aibwv5hGXSgw7Yru8IYTO
135,"Look Alive (feat. Drake)","BlocBoy JB",4589,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
136,"the remedy for a broken heart (why am I so in love)",XXXTENTACION,4565,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
137,"Everybody Dies In Their Nightmares",XXXTENTACION,4546,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
138,Silence,Marshmello,4528,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
139,Sober,"Demi Lovato",4519,https://open.spotify.com/track/0STK94RxUulYqWzwFlyAb5
140,"Can't Hold Us - feat. Ray Dalton","Macklemore & Ryan Lewis",4511,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn
141,Wolves,"Selena Gomez",4487,https://open.spotify.com/track/0tBbt8CrmxbjRP0pueQkyU
142,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",4461,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
143,"Bed (feat. Ariana Grande)","Nicki Minaj",4451,https://open.spotify.com/track/3L4GsGLgxpHieVQH86H8bv
144,Woah,Sofiane,4429,https://open.spotify.com/track/196cSZjrDdgaJILT3cpfYl
145,"One Dance",Drake,4396,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
146,Breathe,"Jax Jones",4387,https://open.spotify.com/track/0KsB4TwgATg88aXCMBoO3Y
147,Familiar,"Liam Payne",4379,https://open.spotify.com/track/0Y4hwUppbGc8aIBmiTz30A
148,"X - Remix","Nicky Jam",4366,https://open.spotify.com/track/6JjPBQfI2Y8nIjnm65X6Pw
149,"XO TOUR Llif3","Lil Uzi Vert",4301,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
150,"Mad Love","Sean Paul",4280,https://open.spotify.com/track/4dSoDnmR9opAQ8KxUc9SbC
151,"Love Lies (with Normani)",Khalid,4264,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
152,"Say Something","Justin Timberlake",4263,https://open.spotify.com/track/1LhMopPAallLeaeNutqbgS
153,goosebumps,"Travis Scott",4242,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
154,"Say You Won't Let Go","James Arthur",4238,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
155,1950,"King Princess",4215,https://open.spotify.com/track/0CZ8lquoTX2Dkg7Ak2inwA
156,Krantenwijk,"Lil' Kleine",4211,https://open.spotify.com/track/1X8py2jInjgIQ9Y9roDQZC
157,"Summertime Magic","Childish Gambino",4206,https://open.spotify.com/track/4j3GWI86JvSaF0BLdmgcfF
158,Stargazing,Kygo,4200,https://open.spotify.com/track/0Zbbxnx4SGGHoIow4PpISP
159,"BUTTERFLY EFFECT","Travis Scott",4195,https://open.spotify.com/track/6xcJyGpfZbuuiequtnlKt4
160,"Barbie Dreams","Nicki Minaj",4179,https://open.spotify.com/track/6Poyf51k7W3NKnsGwAI90B
161,"Let You Down",NF,4173,https://open.spotify.com/track/52okn5MNA47tk87PeZJLEL
162,Lullaby,Sigala,4167,https://open.spotify.com/track/5xzCzOAOfRi4DOttSzvznR
163,Alright,Jain,4151,https://open.spotify.com/track/145QaTU2UvcUNkC04RIYkT
164,Mama,"Jonas Blue",4145,https://open.spotify.com/track/47OVNnZJzIkrsEiZ4n187p
165,Unforgettable,"French Montana",4141,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
166,Taga,"Hornet La Frappe",4137,https://open.spotify.com/track/4xrIWVwDYmJ5KFXinj82TG
167,"Bum Bum Tam Tam","MC Fioti",4129,https://open.spotify.com/track/6k2900NjJeVqZM55G3Danu
168,"Under The Bridge","Red Hot Chili Peppers",4122,https://open.spotify.com/track/3d9DChrdc6BOeFsbrZ3Is0
169,"Billie Jean","Michael Jackson",4119,https://open.spotify.com/track/5ChkMS8OtdzJeqyybCc9R5
170,"Your Love","David Guetta",4116,https://open.spotify.com/track/0tgbSxoFjZ20MjfoKwWevV
171,"STOP TRYING TO BE GOD","Travis Scott",4115,https://open.spotify.com/track/1xYpVRspgaLxdJLOTQkTjg
172,"High Hopes","Panic! At The Disco",4080,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
173,"Thinking Out Loud","Ed Sheeran",4071,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
174,"Whatever It Takes","Imagine Dragons",4065,https://open.spotify.com/track/6Qn5zhYkTa37e91HC1D7lb
175,"I Miss You (feat. Julia Michaels)","Clean Bandit",4064,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
176,Loco,"Yung Felix",4064,https://open.spotify.com/track/0DCxNJg7yquzAHORClrP3e
177,"Grip (Omarm Me)",Bazart,4060,https://open.spotify.com/track/3R9WeLqxWHP93keLuNyz2J
178,Riptide,"Vance Joy",4057,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
179,Patsergedrag,"Sevn Alias",4046,https://open.spotify.com/track/4tNpAeDH7S7cJGEo28Ogi4
180,"Don't Stop Me Now - Remastered",Queen,4037,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
181,Anywhere,"Rita Ora",4035,https://open.spotify.com/track/7EI6Iki24tBHAMxtb4xQN2
182,"Sultans Of Swing","Dire Straits",4017,https://open.spotify.com/track/6cr6UDpkjEaMQ80OjWqEBQ
183,"Coming Home",Sheppard,4003,https://open.spotify.com/track/2MKXUXZIViCGpoFyysFpoj
184,CAROUSEL,"Travis Scott",3994,https://open.spotify.com/track/7KZ5MMVgBVox9ycroB2UrI
185,"Échame La Culpa","Luis Fonsi",3981,https://open.spotify.com/track/2hl6q70unbviGo3g1R7uFx
186,"Every Breath You Take - Remastered 2003","The Police",3963,https://open.spotify.com/track/5C0LFQARavkPpn7JgA4sLk
187,Budapest,"George Ezra",3961,https://open.spotify.com/track/7GJClzimvMSghjcrKxuf1M
188,"Ma 6t a craqué (feat. Ninho)",Kpoint,3956,https://open.spotify.com/track/2NUIWpL6IsYGkwfSN7basS
189,"Uptown Funk","Mark Ronson",3955,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
190,"Hit Sale (feat. Roméo Elvis)","Therapie TAXI",3954,https://open.spotify.com/track/3yndKI4zWEyC36BQYrdKBA
191,"Ain't No Mountain High Enough","Marvin Gaye",3952,https://open.spotify.com/track/0rwFsapoy5sQ0s74zwBTVj
192,Chandelier,Sia,3948,https://open.spotify.com/track/4VrWlk8IQxevMvERoX08iC
193,Guerilla,Soolking,3947,https://open.spotify.com/track/6pJMDcYj8jHDGdEVWNwBMH
194,"Dancing Alone","Axwell /\ Ingrosso",3941,https://open.spotify.com/track/5xzzxWj8a1YBbNZhNLqWuQ
195,"Colors - Coca-Cola® Anthem, 2018 FIFA World CupTM","Jason Derulo",3927,https://open.spotify.com/track/7wD6iRghe6SnKHkvHqpnC5
196,"Save Tonight","Eagle-Eye Cherry",3925,https://open.spotify.com/track/0smyCrJiibi2uwCiq5R1vj
197,Traag,Bizzey,3911,https://open.spotify.com/track/26rVJH5zUQ7Yihz6c850Sn
198,Silence,Damso,3907,https://open.spotify.com/track/3cYf24Pf7oqX9XOHHrWy38
199,"Symphony (feat. Zara Larsson)","Clean Bandit",3897,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
200,"Lonely Together (feat. Rita Ora)",Avicii,3896,https://open.spotify.com/track/2OALaHcDdKkjYEpAr0Qzab
