,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
159,APESHIT,"The Carters",51008,https://open.spotify.com/track/0E6PsO3ymCfUh7pJQjBgkj
160,"This Is America","Childish Gambino",50869,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
161,"Feelings (Wifey) [feat. Yungen & M.O]","Crazy Cousinz",50713,https://open.spotify.com/track/5CuMr1KC8oMHIBbyduLqI5
162,"All The Stars (with SZA)","Kendrick Lamar",50580,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
163,Lyca,Swarmz,50488,https://open.spotify.com/track/6Am4CSzDkGSYuiaA6LMtzb
164,"Dancing Queen","Colin Firth",50103,https://open.spotify.com/track/3zZ6W6T7TuGJmcyvZ5VRlo
165,OTW,Khalid,49903,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
166,"Super Trouper",Cher,49873,https://open.spotify.com/track/1QWJmDzpPKqewtg0abEyq8
167,Happier,"Ed Sheeran",49871,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
168,"Dark Vader","J Hus",49867,https://open.spotify.com/track/4IeXHed9x1xm8fXyrHPnd5
169,"Sit Back Down (feat. Maleek Berry)",Not3s,49761,https://open.spotify.com/track/3zHvNZPykFJF9ZsExlHHyt
170,Halo,Beyoncé,49314,https://open.spotify.com/track/2CvOqDpQIMw69cCzWqr5yr
171,"Do I Wanna Know?","Arctic Monkeys",49238,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt
172,Anywhere,Sigma,48973,https://open.spotify.com/track/6lD9nDl7jBUSIPDMAMZjuD
173,"Say You Won't Let Go","James Arthur",48660,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
174,"Knowing Me, Knowing You","Jeremy Irvine",48625,https://open.spotify.com/track/7jicciytVTNBXYrIXHs3Hv
175,"Shut Up and Dance","WALK THE MOON",48531,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA
176,"We Don't Care",Sigala,48173,https://open.spotify.com/track/59D6pNWyn8UXPpos5fbAqm
177,"She Moves In Her Own Way","The Kooks",48027,https://open.spotify.com/track/5xoUgPXbMNUmoHU0Enwtwq
178,"The Name Of The Game","Lily James",47263,https://open.spotify.com/track/021oUsG0NYI7YuJK6c0ecG
