,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
144,Entrégate,"Luis Miguel",56894,https://open.spotify.com/track/5fj3zNkXfOlrJGVcZBId6D
145,"Suena El Dembow","Joey Montana",56693,https://open.spotify.com/track/0woHVOh3KXLSDv8VU9XwZ4
146,"Mi Gente","J Balvin",56409,https://open.spotify.com/track/7COfe3P7KgfwDwIRB8LIDw
147,"The Scientist",Coldplay,56079,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle
148,FRIENDS,Marshmello,55926,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
149,"Me Dejé Llevar","Christian Nodal",55847,https://open.spotify.com/track/3paOSlqrFcMhdGDZ5513AJ
150,"En Peligro de Extinción","La Adictiva Banda San José de Mesillas",55796,https://open.spotify.com/track/45sVRPegWSGpIcsrDoaaCY
151,"Tu Falta De Querer","Mon Laferte",55594,https://open.spotify.com/track/4skuEIloXWuxxgekKupkEH
152,"Culpable Tu","Alta Consigna",55550,https://open.spotify.com/track/5fLOkcGJ6fGNyOGPlG07cK
153,Casualidad,Nacho,55351,https://open.spotify.com/track/08rwXPBZ2DHOwnL7xaz044
154,"La Dosis Perfecta","Panteon Rococo",55038,https://open.spotify.com/track/7qKtcEDbth6kOM5s4uJzw3
155,"Tengo Que Colgar","Banda Sinaloense MS de Sergio Lizárraga",54610,https://open.spotify.com/track/2yGNkkwU2iT0doFxkxhcXH
156,Medicina,Anitta,54169,https://open.spotify.com/track/4R5xvs5X0phd0EYWyGigju
157,"Persiana Americana","Soda Stereo",54107,https://open.spotify.com/track/7JZP7kQsuFFWOrtAI7uNiW
158,"Does It Matter",Janieck,53933,https://open.spotify.com/track/7FxidSR6IoL3qMRXxFJ8pd
159,"Ahora Dice","Chris Jeday",53832,https://open.spotify.com/track/5LVoGJTyG6fLJgoGkY2QAZ
160,Bonita,"J Balvin",53684,https://open.spotify.com/track/0atfY1ew83Ql9nNnJiD2t5
161,"Scared to Be Lonely","Martin Garrix",53344,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
162,Afuera,Caifanes,53280,https://open.spotify.com/track/3pJfnBjO3kjudEchcPEDxS
163,Mine,Bazzi,53113,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
164,"En algún lugar","Duncan Dhu",52856,https://open.spotify.com/track/3UIENhLRdFIOuRan92cAQu
165,Closer,"The Chainsmokers",52716,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
166,Bipolar,"Chris Jeday",52374,https://open.spotify.com/track/4WzsycqZkpkS48H9AAAGux
167,"Soñé - Live",Zoé,52166,https://open.spotify.com/track/2VhJ4nrPorAbySEgO4V0BS
168,"Creo en Ti",Reik,52136,https://open.spotify.com/track/0xXhgLXfEHnWJHVgRvFvdn
169,"Prometiste - MTV Unplugged [En Vivo]","Pepe Aguilar",52111,https://open.spotify.com/track/4UuVcf9nvpqyPsOk0P9oBH
170,"Hasta Que Me Olvides","Luis Miguel",52092,https://open.spotify.com/track/6vPAmoERUMRoTZaCCSWQ12
171,"Que Bonito Es Querer","Ulices Chaidez Y Sus Plebes",51925,https://open.spotify.com/track/7Jcvu13qlP4km0uDX9p2pZ
172,"Every Breath You Take - Remastered 2003","The Police",51710,https://open.spotify.com/track/5C0LFQARavkPpn7JgA4sLk
173,"La Cintura","Alvaro Soler",51205,https://open.spotify.com/track/19MBk3PbNFE36wqIqkMq9H
174,"Too Good At Goodbyes","Sam Smith",51165,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
175,"Un Hombre Busca A Una Mujer","Luis Miguel",51057,https://open.spotify.com/track/3ZRUhvuUE2lwZF19puKM8P
