,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
97,"Eastside (with Halsey & Khalid)","benny blanco",1784,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
98,"No Hay Nadie Más","Sebastian Yatra",1774,https://open.spotify.com/track/3IPJg1sdqLj12kFIndaonN
99,"Shape of You","Ed Sheeran",1763,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
100,"pArty Y plAya","Milo K",1752,https://open.spotify.com/track/5qxP525KvQAawOI0onwGAB
101,"Real Guerrero","Secreto ""El Famoso Biberon""",1743,https://open.spotify.com/track/60bNU50VVzCBA6Blen0Of4
102,"Ahora Dice","Chris Jeday",1697,https://open.spotify.com/track/5LVoGJTyG6fLJgoGkY2QAZ
103,"Bebe (feat. Anuel AA)",Ozuna,1689,https://open.spotify.com/track/6SIrNxmmdbv1KUbFBu1PaN
104,"Felices los 4",Maluma,1669,https://open.spotify.com/track/1RouRzlg8OKFeqc6LvdxmB
105,"Una Lady Como Tú","Manuel Turizo",1668,https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF
106,"Solo (feat. Demi Lovato)","Clean Bandit",1659,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
107,"Me Rehúso","Danny Ocean",1654,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
108,"Otra Vez (feat. J Balvin)","Zion & Lennox",1641,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq
109,Moonlight,XXXTENTACION,1624,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
110,Sobredosis,"Romeo Santos",1623,https://open.spotify.com/track/1WbXIpiGBJkCiv3hn40iPB
111,changes,XXXTENTACION,1622,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
112,"Amantes de una Noche","Natti Natasha",1599,https://open.spotify.com/track/2iCOdoyDmWG3hWkbtH1KB2
113,"Jackie Chan",Tiësto,1598,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
114,"Nena Maldicion (feat. Lenny Tavarez)","Paulo Londra",1583,https://open.spotify.com/track/3TnhQSRwT3AVMdXw5JPq0x
115,"El Clavo - Remix","Prince Royce",1544,https://open.spotify.com/track/6bI00brFpeprqCDqKouEJS
