,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
140,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,5177,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
141,"River (feat. Ed Sheeran)",Eminem,5171,https://open.spotify.com/track/1cS0TgbR263ey9jn0MwD2s
142,"Wonderwall - Remastered",Oasis,5167,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
143,"Shut Up and Dance","WALK THE MOON",5119,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA
144,"Dancing Queen","Colin Firth",5115,https://open.spotify.com/track/3zZ6W6T7TuGJmcyvZ5VRlo
145,Believer,"Imagine Dragons",5097,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
146,Colour,MNEK,5082,https://open.spotify.com/track/7haQE5nOcxwk0HXahP0aV3
147,Honey,"070 Shake",5075,https://open.spotify.com/track/0PoMoPqIJxe6H0rDMnpGP8
148,Butterflies,"AJ Tracey",5069,https://open.spotify.com/track/6DMXPshekQJR7uOMj0103y
149,"High On Life (feat. Bonn)","Martin Garrix",5057,https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy
150,"Super Trouper",Cher,5053,https://open.spotify.com/track/1QWJmDzpPKqewtg0abEyq8
151,"Lean Wit Me","Juice WRLD",4995,https://open.spotify.com/track/29tc0GbW0pTSBZSCZF3NWk
152,TOOTIMETOOTIMETOOTIME,"The 1975",4933,https://open.spotify.com/track/1avsdAHEznOhz5KFF04zOS
153,"Never Enough","Loren Allred",4920,https://open.spotify.com/track/0Gl5s8IhMmQE5YQwM8Qx1J
154,"Mob Ties",Drake,4909,https://open.spotify.com/track/7rC5Pl8rQSX4myONQHYPBK
155,Silence,Marshmello,4887,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
156,"Castle on the Hill","Ed Sheeran",4886,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
157,"you should see me in a crown","Billie Eilish",4880,https://open.spotify.com/track/6vsV4D8BM6PioRr1UOx0n2
158,Congratulations,"Post Malone",4866,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
