,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
130,"Let You Go",Nightcall,5277,https://open.spotify.com/track/3MdXljQymY43YwHw1N0lOd
131,"WAKE UP","Travis Scott",5256,https://open.spotify.com/track/20MuVazoNMv6xjKPnRFOxG
132,"Molotov (feat. RAF Camora)","Summer Cem",5251,https://open.spotify.com/track/4OIvBxO2bUD2J9L1hD7IpV
133,"La Cintura (feat. Flo Rida & TINI) - Remix","Alvaro Soler",5248,https://open.spotify.com/track/56gH0zGe3SP9SGNoQ2pWwn
134,Unforgettable,"French Montana",5230,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
135,"More Than You Know","Axwell /\ Ingrosso",5222,https://open.spotify.com/track/6h5PAsRni4IRlxWr6uDPTP
136,Barking,Ramz,5169,https://open.spotify.com/track/2U5cq89GCnsR1yixKkC8d5
137,"Live It Up - Official Song 2018 FIFA World Cup Russia","Nicky Jam",5135,https://open.spotify.com/track/4DnHUy01jEA4b5ydC3HgsT
138,"Was Du Liebe nennst",Bausa,5123,https://open.spotify.com/track/2hIY4sjfMeKwXXh2LvhrMo
139,"Sex Tape","Katja Krasavice",5118,https://open.spotify.com/track/1zOMSnF631rlPHlS4hH9rV
140,Bella,MHD,5103,https://open.spotify.com/track/0SJRHDAStlsrXIXeFZZStK
141,"Tamam Tamam","Summer Cem",5092,https://open.spotify.com/track/2eRq2jwsZtb0uGH4qUsvT1
142,Alright,Jain,5062,https://open.spotify.com/track/145QaTU2UvcUNkC04RIYkT
143,"Da zero a cento","Baby K",5056,https://open.spotify.com/track/4cQR1R25cpABjPMzpybNSQ
144,Rooftop,"Nico Santos",5037,https://open.spotify.com/track/57que6poE3x4LM9yBzMB22
145,"Ma 6t a craqué (feat. Ninho)",Kpoint,5035,https://open.spotify.com/track/2NUIWpL6IsYGkwfSN7basS
146,"Look Alive (feat. Drake)","BlocBoy JB",5001,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
147,"5 Songs in einer Nacht","Capital Bra",4981,https://open.spotify.com/track/72gemWtPeCOrRnX4PhjNNk
148,"Du bist anders (feat. Ardian Bujupi)",Fard,4955,https://open.spotify.com/track/3y9kOAQhEGrL2rpGFoPtox
149,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes",4939,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
150,"Wake Me Up - Radio Edit",Avicii,4934,https://open.spotify.com/track/4h8VwCb1MTGoLKueQ1WgbD
151,CAROUSEL,"Travis Scott",4933,https://open.spotify.com/track/7KZ5MMVgBVox9ycroB2UrI
152,Familiar,"Liam Payne",4930,https://open.spotify.com/track/0Y4hwUppbGc8aIBmiTz30A
153,"Dusk Till Dawn - Radio Edit",ZAYN,4898,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
154,"Thunderclouds with Sia, Diplo & Labrinth",Sia,4873,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
155,Dura,"Daddy Yankee",4870,https://open.spotify.com/track/6KuqAtoeVzxAYOaMveLNpH
156,Flouz,"Azzi Memo",4749,https://open.spotify.com/track/6LfTpwqGGa7xJ81yqqy12W
157,"Bed (feat. Ariana Grande)","Nicki Minaj",4723,https://open.spotify.com/track/3L4GsGLgxpHieVQH86H8bv
158,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",4715,https://open.spotify.com/track/7CUYHcu0RnbOnMz4RuN07w
159,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,4693,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
160,Stargazing,Kygo,4685,https://open.spotify.com/track/0Zbbxnx4SGGHoIow4PpISP
161,Smog,Damso,4685,https://open.spotify.com/track/1h1wmYG39fp6ZTgwlJ3Cv3
162,"New Rules","Dua Lipa",4680,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
163,"Feel It Still","Portugal. The Man",4680,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
164,"I'll Be There","Jess Glynne",4643,https://open.spotify.com/track/083Qf6hn6sFL6xiOHlZUyn
165,Africa,Toto,4642,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
166,Primo,"RAF Camora",4637,https://open.spotify.com/track/7y5chiQbuvviOYUfUmOPqo
167,"XO TOUR Llif3","Lil Uzi Vert",4631,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
168,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,4605,https://open.spotify.com/track/7w9bgPAmPTtrkt2v16QWvQ
