,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
94,Perfect,"Ed Sheeran",2294,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
95,"Suena El Dembow","Joey Montana",2280,https://open.spotify.com/track/0woHVOh3KXLSDv8VU9XwZ4
96,"Besos En Guerra",Morat,2274,https://open.spotify.com/track/5KgdtjmglXPjJNKvMvSjgo
97,Amorfoda,"Bad Bunny",2246,https://open.spotify.com/track/3ITvHA9zhZZdBJsOsAUegF
98,"La Modelo",Ozuna,2237,https://open.spotify.com/track/2m2ZGfJcs3lHWNPzhWH3XH
99,changes,XXXTENTACION,2208,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
100,"Una Lady Como Tú","Manuel Turizo",2207,https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF
101,Usted,"Juan Magán",2178,https://open.spotify.com/track/79HTe42PihWUUq4BDjcuCq
102,Sirena,"Cali Y El Dandee",2172,https://open.spotify.com/track/1juHIWqgFiDFAKuEBP24Lt
103,Corazón,Maluma,2160,https://open.spotify.com/track/5cepAtqnEQ6yVG6088zMMu
104,"God is a woman","Ariana Grande",2157,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
105,Caraluna,Bacilos,2152,https://open.spotify.com/track/7DhYjNLksXZhbRQeheAums
106,"Born To Be Yours",Kygo,2136,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
107,"Ahora Te Puedes Marchar","Luis Miguel",2124,https://open.spotify.com/track/1uKjQoh8JZj9ryuYRhpd7E
108,Rise,"Jonas Blue",2120,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
109,"Tu Postura","Banda Sinaloense MS de Sergio Lizárraga",2118,https://open.spotify.com/track/4RNzKQEzmlvVHca4t6Txkj
110,"Hookah & Sheridan s","Tommy Boysen",2103,https://open.spotify.com/track/3QfD4bxxkopZL7XZ8RaezH
111,"Eastside (with Halsey & Khalid)","benny blanco",2088,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
112,Youngblood,"5 Seconds of Summer",2056,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
113,Thunder,"Imagine Dragons",2017,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
114,"La llave (feat. Piso 21)","Pablo Alborán",1983,https://open.spotify.com/track/0nJUoF6tA031X6zvX9ee4R
115,Downtown,Anitta,1945,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D
116,"Déjate Llevar","Juan Magán",1934,https://open.spotify.com/track/4hXAdUl4nAnSPc9thzP2E2
117,"Mi Mala - Remix","Mau y Ricky",1931,https://open.spotify.com/track/6kOHug1s9Nd5gsHrX8irs2
118,Probablemente,"Christian Nodal",1931,https://open.spotify.com/track/4prmUBle7TtAeeUgCnsc3Z
119,Peligrosa,"J Balvin",1925,https://open.spotify.com/track/3Nkqp3NSGWMXVVO08zGpN7
120,Closer,"The Chainsmokers",1922,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
121,"Adiós Amor","Christian Nodal",1894,https://open.spotify.com/track/63bmZnBN1CiJ9sA4qTEe8y
122,"In My Mind",Dynoro,1889,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
123,"Taste (feat. Offset)",Tyga,1878,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
124,Sobredosis,"Romeo Santos",1869,https://open.spotify.com/track/1WbXIpiGBJkCiv3hn40iPB
125,"Quiero Volver",TINI,1863,https://open.spotify.com/track/1jcAZRfufvi67KWnwRmizE
126,"Bella y Sensual","Romeo Santos",1842,https://open.spotify.com/track/0ERbK7qVqveCaBWIiYCrl3
127,"Ahora Dice","Chris Jeday",1821,https://open.spotify.com/track/5LVoGJTyG6fLJgoGkY2QAZ
128,Havana,"Camila Cabello",1817,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
129,Ella,"Ricardo Arjona",1813,https://open.spotify.com/track/7hydwXc3IVJIItIif6ZuLH
130,"Quien Sabe","Natti Natasha",1806,https://open.spotify.com/track/5ZkPBld8QqfUkS6aJG40yj
131,"Psycho (feat. Ty Dolla $ign)","Post Malone",1806,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
132,Mayores,"Becky G",1797,https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau
133,"Tú Y Yo (feat. Nicky Jam & Justin Quiles)",Valentino,1791,https://open.spotify.com/track/58smOywZbVu8AjWutppiQA
134,SUTRA,"Sebastian Yatra",1776,https://open.spotify.com/track/0lTYnxJdC68v0oXd5xolxY
135,Solo,Amenazzy,1764,https://open.spotify.com/track/7mTWMsbnRPGmyLOEaImXOU
136,"Báilame - Remix",Nacho,1760,https://open.spotify.com/track/4l3xGFwoTinvYxsePytOOf
137,"Tengo Que Colgar","Banda Sinaloense MS de Sergio Lizárraga",1757,https://open.spotify.com/track/2yGNkkwU2iT0doFxkxhcXH
138,"Échame La Culpa","Luis Fonsi",1734,https://open.spotify.com/track/2hl6q70unbviGo3g1R7uFx
139,"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",Farruko,1729,https://open.spotify.com/track/2FrnTVSHjgnEylKGdHRUK1
140,"Solo - Remix","Lary Over",1714,https://open.spotify.com/track/3He16IbDCweYwKPIa9jbNS
141,"La Incondicional","Luis Miguel",1713,https://open.spotify.com/track/6F9yAYUaNbUhdlQyt5uZ3b
142,"La Correcta",Nabález,1713,https://open.spotify.com/track/1ISamB2lPDAeKb4Js2hLgq
143,Dimelo,"Paulo Londra",1709,https://open.spotify.com/track/3uwehoqKSQLa5lFFvIX6M3
144,"Todo El Amor (feat. Maluma & Wisin)","De La Ghetto",1703,https://open.spotify.com/track/4LQL3TMYtU7J8xBUhyjJxQ
145,"Quisiera Alejarme (feat. Ozuna & CNCO) - Remix",Wisin,1696,https://open.spotify.com/track/4khRdk0vpLBWzGu41Fd7Rl
146,"Something Just Like This","The Chainsmokers",1695,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
147,"Dale Vieja Dale","Toño Rosario",1695,https://open.spotify.com/track/734vYzX6YKgSDHzXuLQJmg
148,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",1681,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
149,"Dime Si Te Acuerdas","Bad Bunny",1668,https://open.spotify.com/track/49VSioK272TASR4r9vRTuP
150,Moonlight,XXXTENTACION,1657,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
151,"Tu Amor Me Hace Bien - Salsa Version","Marc Anthony",1656,https://open.spotify.com/track/12H7K15h3aC5vRCaca65el
152,"Ocean (feat. Khalid)","Martin Garrix",1648,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
153,Mine,Bazzi,1643,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
154,"Beautiful (feat. Camila Cabello)",Bazzi,1629,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
155,"Happy Now",Zedd,1628,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
156,Imitadora,"Romeo Santos",1626,https://open.spotify.com/track/6r46lnXFbE9fr2d3KNaGbe
157,"Devuelveme a mi chica","Hombres G",1605,https://open.spotify.com/track/1Wrzhfa5bNlqvsnCztz190
158,"The Middle",Zedd,1602,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
159,"La flaca","Jarabe De Palo",1602,https://open.spotify.com/track/2LsbizbOeNa4x6qsi2jAMb
160,"Pa Dentro",Juanes,1600,https://open.spotify.com/track/7flNdUykV5LYDRv8wQDbsx
161,Mamita,CNCO,1594,https://open.spotify.com/track/71GAvRsilpo9pqd0vYn8Mo
162,Explícale,Yandel,1591,https://open.spotify.com/track/1LszjjoVwDDZcWUQbzeDLG
163,"Scared to Be Lonely","Martin Garrix",1590,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
164,"Me Llamas (feat. Maluma) - Remix","Piso 21",1586,https://open.spotify.com/track/5hEM0JchdVzQ5PwvSfITeX
165,Nonstop,Drake,1579,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
166,Inolvidable,Farruko,1574,https://open.spotify.com/track/30R2SoOAsKJmaHzA7CGZdA
167,"The Scientist",Coldplay,1567,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle
168,"Qué Tienes Tú",Dvicio,1567,https://open.spotify.com/track/4txQPJDlvU72lC6EMhT7m9
169,"no tears left to cry","Ariana Grande",1554,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
170,FRIENDS,Marshmello,1551,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
171,Traicionera,"Sebastian Yatra",1543,https://open.spotify.com/track/4Ft0391aLVNtCPPseh98lp
172,"Felices los 4",Maluma,1541,https://open.spotify.com/track/1RouRzlg8OKFeqc6LvdxmB
173,"No Te Vas",Nacho,1538,https://open.spotify.com/track/21Dt0T82tst15r3HCIM2Ku
174,"Como Mirarte","Sebastian Yatra",1537,https://open.spotify.com/track/0CXEPVeQDLgDBfvcsQpXq1
175,Pineapple,"Karol G",1511,https://open.spotify.com/track/2RXzzOxmBlffT81fjwBSVh
176,Vuelve,"Daddy Yankee",1507,https://open.spotify.com/track/0gCPvo1GkbtPhMqg5Gbx1K
177,Besándote,"Piso 21",1503,https://open.spotify.com/track/43jclIPKJv9iFiYWVyWqsb
178,"Wake Me Up - Radio Edit",Avicii,1502,https://open.spotify.com/track/4h8VwCb1MTGoLKueQ1WgbD
179,"Mi Gente","J Balvin",1502,https://open.spotify.com/track/7COfe3P7KgfwDwIRB8LIDw
180,"Le Encanta","Juan Magán",1496,https://open.spotify.com/track/68pbwCjIAkmNaTYaAfRtHC
181,"Body (feat. brando)","Loud Luxury",1492,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
182,"Fuiste Tú","Ricardo Arjona",1482,https://open.spotify.com/track/29csiYMOfBmLmGwxmISrMy
183,"One Dance",Drake,1481,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
184,"Live It Up - Official Song 2018 FIFA World Cup Russia","Nicky Jam",1463,https://open.spotify.com/track/4DnHUy01jEA4b5ydC3HgsT
185,"Too Good At Goodbyes","Sam Smith",1462,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
186,Faded,"Alan Walker",1458,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos
187,"En Peligro de Extinción","La Adictiva Banda San José de Mesillas",1453,https://open.spotify.com/track/45sVRPegWSGpIcsrDoaaCY
188,"Nunca Es Suficiente","Los Angeles Azules",1452,https://open.spotify.com/track/63USmok1OioBzKuWGW9wAg
189,"Vivir Mi Vida","Marc Anthony",1447,https://open.spotify.com/track/3QHMxEOAGD51PDlbFPHLyJ
190,"Yo No Sé Mañana (salsa)","Luis Enrique",1445,https://open.spotify.com/track/1nZziTuPRwCfJe1XvVC760
191,"SICKO MODE","Travis Scott",1440,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
192,"Se Vuelve Loca",CNCO,1436,https://open.spotify.com/track/2PYmyMAMlhX1eVevLo5A6n
193,"Let Me Love You","DJ Snake",1420,https://open.spotify.com/track/0lYBSQXN6rCTvUZvg9S0lU
194,"3 A.M.","Jesse & Joy",1420,https://open.spotify.com/track/0yyZN5ASdrYu0XYWFzfxUu
195,"Culpable O No - Miénteme Como Siempre","Luis Miguel",1416,https://open.spotify.com/track/7BwxbmYFy0l3ROHDjV2c14
196,"Me Vas a Extrañar","Banda Sinaloense MS de Sergio Lizárraga",1406,https://open.spotify.com/track/2yS8aYWXEWJ1NlZ7VPDroT
197,"La Cintura","Alvaro Soler",1405,https://open.spotify.com/track/19MBk3PbNFE36wqIqkMq9H
198,"La Mujer Perfecta",KURT,1403,https://open.spotify.com/track/0mAGeks6ns4FZWBPkjD9HR
199,"Lamento Boliviano","Los Enanitos Verdes",1384,https://open.spotify.com/track/6Pur3hWy6Nzc27ilmsp5HA
200,"Thinking Out Loud","Ed Sheeran",1382,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
