,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
107,"Zu dir",LEA,59251,https://open.spotify.com/track/6rROVX0t2Q5tDOVVbcHq6S
108,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,58514,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
109,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",58102,https://open.spotify.com/track/2lYTJK94hb0fd1LQtb6Dhk
110,"Bed (feat. Ariana Grande)","Nicki Minaj",57991,https://open.spotify.com/track/3L4GsGLgxpHieVQH86H8bv
111,"Wir 2 immer 1 (feat. Olexesh)","Vanessa Mai",57940,https://open.spotify.com/track/683Qz6LnrvcpaNoBiOzFYi
112,"Sin Pijama","Becky G",57492,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
113,"High On Life (feat. Bonn)","Martin Garrix",55858,https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy
114,"Don’t Matter To Me (with Michael Jackson)",Drake,55811,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0
115,Knöcheltief,Trettmann,55101,https://open.spotify.com/track/7AwPgamlOy97TfTIXDvb4S
116,G-Modelle,Kollegah,54472,https://open.spotify.com/track/49qz2ADX5LuXaAcjDQSpLU
117,"Jocelyn Flores",XXXTENTACION,54195,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
118,Havana,"Camila Cabello",53255,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
119,PACKZ,Jalil,52810,https://open.spotify.com/track/6WIFBakiq26ei0qauhF2qn
120,"Échame La Culpa","Luis Fonsi",52363,https://open.spotify.com/track/2hl6q70unbviGo3g1R7uFx
121,"Psycho (feat. Ty Dolla $ign)","Post Malone",52348,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
122,"Remind Me to Forget",Kygo,52105,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80
123,"An Wunder","Wincent Weiss",51809,https://open.spotify.com/track/1tvLm3VWxauQ1q8po39Io9
124,"Nuklearer Winter",Kollegah,51467,https://open.spotify.com/track/3cGtyUeJwEHyBufXQkF0S8
125,"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam",50604,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
126,Happier,"Ed Sheeran",50204,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
127,Avirex,RIN,49807,https://open.spotify.com/track/3xryS066YnE2uleCd18LbQ
128,Mythos,Bushido,49783,https://open.spotify.com/track/6xMbMm4QBBBOts828PHONm
129,"Ring Ring (feat. Mabel & Rich The Kid)","Jax Jones",49109,https://open.spotify.com/track/3pSfoP1xZllxEuZ6Oh6ebn
130,"Qa bone",Azet,49060,https://open.spotify.com/track/5mqjWAb4xWdoIr6IZdHpqS
131,"Üff Üff",Fard,48992,https://open.spotify.com/track/6a2DvwPcgeOdiiMh6IbDdk
132,"Immer wieder (feat. MoTrip)",Rooz,48230,https://open.spotify.com/track/01q4ydDZhk4xdVb0M7uvgu
133,"Schuldig bei Verdacht",Kollegah,48206,https://open.spotify.com/track/4xMwg5vubV5TxpWMFwTEvm
134,IDGAF,"Dua Lipa",48071,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
135,"The Middle",Zedd,48005,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
136,XY,"AK Ausserkontrolle",47992,https://open.spotify.com/track/4f363BFFnWWOWk4wOzQt5h
137,"Olé Olé","Capital Bra",47855,https://open.spotify.com/track/4v4ZuW2tjSyyci2BcE5bTp
138,"Like I Do","David Guetta",47689,https://open.spotify.com/track/6RnkFd8Fqqgk1Uni8RgqCQ
139,Belesh,Jigzaw,47618,https://open.spotify.com/track/7CUXPOT0dJfNHq3YrEJj4V
140,"Playinwitme (feat. Kehlani)",KYLE,47574,https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr
141,Legenden,"Max Giesinger",47471,https://open.spotify.com/track/4I2mfHmpV5NP8IGH6k6sfK
142,Eloah,"Sun Diego",47263,https://open.spotify.com/track/7kYC5ilFc6kXN6YagFRemB
143,"Answerphone (feat. Yxng Bane)","Banx & Ranx",47078,https://open.spotify.com/track/1HagMz5nWk1HmevNCBOxF3
144,Kontrollieren,"RAF Camora",46998,https://open.spotify.com/track/1uGERQ2DVv7j9WSsWzOHVp
145,"I'll Be There","Jess Glynne",46952,https://open.spotify.com/track/083Qf6hn6sFL6xiOHlZUyn
146,"More Than You Know","Axwell /\ Ingrosso",46639,https://open.spotify.com/track/6h5PAsRni4IRlxWr6uDPTP
147,"In My Blood","Shawn Mendes",46629,https://open.spotify.com/track/21YnmkSDhUkmkkni22Svc4
148,"Oder nicht","Kontra K",46494,https://open.spotify.com/track/34W06Vcl2mfQOsdOFV43Ao
149,Ausnahmezustand,Kollegah,46362,https://open.spotify.com/track/4Wt0Gv5sRMX9sCCT3jjkVk
150,"Sick Boy","The Chainsmokers",45900,https://open.spotify.com/track/6G9NGmhQY69knXica8K5Mp
151,"¿ Warum ?",Gzuz,45885,https://open.spotify.com/track/0MCuJk4KeBnweGeMZXc6Br
152,"Vanderlei Silva",Kollegah,45774,https://open.spotify.com/track/3KltQSuFrzVTWDBiJx0JaZ
153,Natural,"Imagine Dragons",45532,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
154,Maserati,"RAF Camora",45389,https://open.spotify.com/track/6Ey4u2VsUbBz52l2cPvuxa
155,Millionär,"187 Strassenbande",44918,https://open.spotify.com/track/6mw02h3qbWmuq2bJCRjRAe
156,Darkside,"Alan Walker",44669,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG
157,"Heute mit mir",Nimo,44019,https://open.spotify.com/track/7fUWZUNj5qbEuoL6K9947g
158,"Live It Up - Official Song 2018 FIFA World Cup Russia","Nicky Jam",43954,https://open.spotify.com/track/4DnHUy01jEA4b5ydC3HgsT
