,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
87,記得帶走,"LaLa Hsu",4999,https://open.spotify.com/track/2vufWUfS5xLwIf3S0jKV1V
88,還好,"Rachel Liang",4971,https://open.spotify.com/track/1PIPzILhqi26YRr7vpFLay
89,Havana,"Camila Cabello",4946,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
90,失落沙洲,"LaLa Hsu",4918,https://open.spotify.com/track/4vBoopG4WzohMju1GUmwoi
91,"當每顆星星 阿信版",阿信,4889,https://open.spotify.com/track/5J6ati8V7AKuKjrepPwkNT
92,灰色,"LaLa Hsu",4889,https://open.spotify.com/track/1dIKxlEtHBABzk1DlRNCxc
93,家家酒,"Jia Jia",4848,https://open.spotify.com/track/6mO5fCJKvB9tr5RAFvBO7z
94,"光年之外 (電影 《Passengers》 中國區主題曲)",G.E.M.,4806,https://open.spotify.com/track/1bkvGbgK4HU8B7Ue4k7O7I
95,踮起腳尖愛,"Pei-Yu Hong",4710,https://open.spotify.com/track/18sAGLtcv4bRvwUfmfM5o9
96,"Thru These Tears",LANY,4704,https://open.spotify.com/track/4gB61mP4tNChn4LgfquMhi
97,日常,EggPlantEgg,4664,https://open.spotify.com/track/5os0kLggrm4cynK8RsOMVf
98,"你要的愛(深夜版) - 電視劇「流星花園」插曲","Penny Tai",4628,https://open.spotify.com/track/5OJb83nV3B5lo2fldAhWuR
99,"一愛難求 (電視劇《扶搖》片尾曲)","LaLa Hsu",4616,https://open.spotify.com/track/55Cl1GJlpC5hm8YNGq0jfi
100,誰來剪月光,"Eason Chan",4578,https://open.spotify.com/track/7npBr1YMDpbeYbVXiqnhE0
101,"Hold Me Down - Chinese Version","Kris Wu",4516,https://open.spotify.com/track/4g5TZbKKlK24E6RpcFXBhX
102,"Will You Remember Me","Nicky Lee",4493,https://open.spotify.com/track/2e1jfYNXJ6tT4zn7vBTo7D
103,"我多喜歡你,你會知道 - 網劇《致我們單純的小美好》推廣曲","Wang Jun Qi",4488,https://open.spotify.com/track/221FBKC22DTc7XkPIaZYOl
104,買榜,Poetek,4468,https://open.spotify.com/track/67LTN04r77CavIkE7dc4tF
105,到此為止,"LaLa Hsu",4468,https://open.spotify.com/track/5dUshocB5ykBkSr8jtMf7p
106,黑夜問白天,"JJ Lin",4431,https://open.spotify.com/track/5KNh5YQgfduzV4028Cfh3J
107,"不曾回來過 - 電視劇""通靈少女""插曲","Nana Lee",4399,https://open.spotify.com/track/6QAn6Crff7sfcqC83fH7dd
108,"Summertime Magic","Childish Gambino",4388,https://open.spotify.com/track/4j3GWI86JvSaF0BLdmgcfF
109,"莎賓娜,不要再結婚了!","Joanna Wang",4381,https://open.spotify.com/track/10LyBpfq6pDhWA5T38iksA
110,SWAG午覺,Outlander,4359,https://open.spotify.com/track/3rGMUcRkIRBO9dggY7bTYw
111,長途夜車,"Fire EX.",4263,https://open.spotify.com/track/3aH4zwCqiIEH08zbJO4jlH
112,"You Are My Only One (電視劇“我和兩個他”主題曲)","Tia Ray",4188,https://open.spotify.com/track/71O9WhK2KDKAeD6ZigPIuB
113,Closer,"The Chainsmokers",4074,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
114,Wolves,"Selena Gomez",4073,https://open.spotify.com/track/0tBbt8CrmxbjRP0pueQkyU
115,芙烈亞,"Valen Hsu",4047,https://open.spotify.com/track/7kbaWgJb5Gna3uNTpF1iEe
116,"請聽 - 2018 臺中世界花卉博覽會主題曲",吳青峰,4001,https://open.spotify.com/track/2IXngPE7NGTvlyct19A6uW
117,我懷念的,"Stefanie Sun",3973,https://open.spotify.com/track/7z2M7DsEjZjwXBkWG3zd21
118,"We Don't Care",Sigala,3946,https://open.spotify.com/track/59D6pNWyn8UXPpos5fbAqm
119,Nevermind,"Dennis Lloyd",3944,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
120,"Du Jia Ji Yi","Jordan Chan",3934,https://open.spotify.com/track/3cSHn8YDBsq4Tlc4RXKSUe
121,拋物線,"Tanya Chua",3906,https://open.spotify.com/track/2oZJWtQZ6CLPHHsnUhC3IY
122,她說,"JJ Lin",3831,https://open.spotify.com/track/632VyMrvhsHIsO4zq9khts
123,"你,好不好? - Ending Theme Song of TVBS Series ""Life List""","Eric Chou",3825,https://open.spotify.com/track/2gug6MRv4xQFYi9LA3PJCS
